radius,area,train_hit_rate,test_hit_rate,fire_all_mean_hit,oracle_mean_hit,selected_threshold,selected_weights,selected_oof_mean_hit,selected_oof_hit_score,selected_test_mean_hit,selected_test_hit_score,selected_test_precision,selected_test_recall,selected_test_auroc,selected_test_shots_fired,test_oracle_blend_mean_hit,test_oracle_blend_weights,delta_mean_hit,delta_oracle_mean_hit,roi_per_radius,roi_per_area
0.01,0.00031415926535897936,0.57875,0.579,-0.2630000000000001,0.579,0.725,"{'lgbm': 0.65, 'hist': 0.0, 'mlp': 0.35}",0.23725,1898,0.238,476,0.8695652173913043,0.5872193436960277,0.8321549153056913,782,0.249,"{'lgbm': 0.5, 'hist': 0.1, 'mlp': 0.4}",,,,
0.015,0.0007068583470577034,0.80025,0.802,0.40600000000000014,0.802,0.69,"{'lgbm': 0.25, 'hist': 0.3, 'mlp': 0.45}",0.54475,4358,0.545,1090,0.8972081218274112,0.8815461346633416,0.8414569636514774,1576,0.553,"{'lgbm': 0.0, 'hist': 0.7, 'mlp': 0.3}",0.30700000000000005,0.2230000000000001,61.40000000000002,781.7690804673903
0.02,0.0012566370614359175,0.8585,0.8585,0.5754999999999999,0.8585,0.745,"{'lgbm': 0.0, 'hist': 0.6, 'mlp': 0.4}",0.6585,5268,0.6475,1295,0.9123505976095617,0.9336051252184042,0.8261307111796194,1757,0.665,"{'lgbm': 0.45, 'hist': 0.2, 'mlp': 0.35}",0.10249999999999992,0.056499999999999995,20.499999999999982,186.43864762193434
0.025,0.001963495408493621,0.894,0.8915,0.6745000000000001,0.8915,0.72,"{'lgbm': 0.5, 'hist': 0.15, 'mlp': 0.35}",0.743,5944,0.739,1478,0.9369171695008228,0.9579360628154795,0.8377301239820011,1823,0.7465,"{'lgbm': 0.05, 'hist': 0.85, 'mlp': 0.1}",0.09150000000000003,0.03299999999999992,18.3,129.44602038140826
0.03,0.0028274333882308137,0.91375,0.9135,0.7404999999999999,0.9135,0.785,"{'lgbm': 0.35, 'hist': 0.4, 'mlp': 0.25}",0.782,6256,0.784,1568,0.9473684210526315,0.9655172413793104,0.8576332532880271,1862,0.791,"{'lgbm': 0.25, 'hist': 0.3, 'mlp': 0.45}",0.04500000000000004,0.02200000000000002,9.000000000000012,52.087072284620355
0.035,0.0038484510006474974,0.929125,0.93,0.79,0.93,0.77,"{'lgbm': 0.5, 'hist': 0.35, 'mlp': 0.15}",0.8205,6564,0.8155,1631,0.9513089005235602,0.9768817204301076,0.8654070660522274,1910,0.824,"{'lgbm': 0.0, 'hist': 0.65, 'mlp': 0.35}",0.03149999999999997,0.01650000000000007,6.299999999999989,30.85157358396735
0.04,0.00502654824574367,0.941125,0.941,0.823,0.941,0.885,"{'lgbm': 0.25, 'hist': 0.65, 'mlp': 0.1}",0.847625,6781,0.8385,1677,0.9619651347068146,0.9675876726886291,0.8559141915380322,1893,0.845,"{'lgbm': 0.2, 'hist': 0.45, 'mlp': 0.35}",0.02300000000000002,0.010999999999999899,4.600000000000007,19.523006352605847
0.045,0.006361725123519331,0.95075,0.948,0.8439999999999999,0.948,0.75,"{'lgbm': 0.35, 'hist': 0.15, 'mlp': 0.5}",0.871125,6969,0.862,1724,0.961518727552591,0.9883966244725738,0.8441252839987019,1949,0.8655,"{'lgbm': 0.0, 'hist': 0.45, 'mlp': 0.55}",0.023499999999999965,0.007000000000000006,4.699999999999996,17.600664294868405
0.05,0.007853981633974483,0.957125,0.957,0.871,0.957,0.915,"{'lgbm': 0.7, 'hist': 0.2, 'mlp': 0.1}",0.88525,7082,0.8815,1763,0.9724245577523413,0.9764890282131662,0.8730164516050642,1922,0.889,"{'lgbm': 0.35, 'hist': 0.55, 'mlp': 0.1}",0.019499999999999962,0.009000000000000008,3.899999999999989,13.067458485439799
0.055,0.009503317777109124,0.96425,0.962,0.8860000000000001,0.962,0.785,"{'lgbm': 0.05, 'hist': 0.55, 'mlp': 0.4}",0.905625,7245,0.894,1788,0.9709035222052067,0.9885654885654885,0.8701102418207681,1959,0.899,"{'lgbm': 0.15, 'hist': 0.7, 'mlp': 0.15}",0.012500000000000067,0.0050000000000000044,2.5000000000000147,7.5788068138998215
0.06,0.011309733552923255,0.971,0.9685,0.9055,0.9685,0.935,"{'lgbm': 0.8, 'hist': 0.1, 'mlp': 0.1}",0.921125,7369,0.912,1824,0.9779825908858167,0.986060918946825,0.8856602010964427,1953,0.916,"{'lgbm': 0.2, 'hist': 0.8, 'mlp': 0.0}",0.018000000000000016,0.006500000000000061,3.600000000000005,9.964483393579547
0.065,0.013273228961416876,0.975375,0.9735,0.9205000000000001,0.9735,0.875,"{'lgbm': 0.0, 'hist': 0.65, 'mlp': 0.35}",0.93375,7470,0.927,1854,0.9797365754812564,0.9933230611196713,0.8458780319989145,1974,0.93,"{'lgbm': 0.2, 'hist': 0.8, 'mlp': 0.0}",0.015000000000000013,0.0050000000000000044,3.0,7.639437268410979
0.07,0.01539380400258999,0.97825,0.9785,0.9355000000000002,0.9785,0.93,"{'lgbm': 0.6, 'hist': 0.3, 'mlp': 0.1}",0.941,7528,0.9395,1879,0.9828369510348309,0.9948901379662749,0.8580171358629132,1981,0.943,"{'lgbm': 0.0, 'hist': 0.95, 'mlp': 0.05}",0.012499999999999956,0.0050000000000000044,2.499999999999989,5.894627521922021
0.075,0.017671458676442587,0.981375,0.9805,0.9415,0.9805,0.89,"{'lgbm': 0.6, 'hist': 0.4, 'mlp': 0.0}",0.94825,7586,0.947,1894,0.9834420471650778,0.9994900560938297,0.9268034362373986,1993,0.948,"{'lgbm': 0.35, 'hist': 0.4, 'mlp': 0.25}",0.007499999999999951,0.0020000000000000018,1.4999999999999931,3.2928608915564377
0.08,0.02010619298297468,0.984875,0.983,0.9489999999999998,0.983,0.825,"{'lgbm': 0.65, 'hist': 0.05, 'mlp': 0.3}",0.95775,7662,0.954,1908,0.9864253393665159,0.9979654120040692,0.8690233977619533,1989,0.9555,"{'lgbm': 0.7, 'hist': 0.3, 'mlp': 0.0}",0.007000000000000006,0.0024999999999999467,1.4,2.875057036498754
0.085,0.02269800692218626,0.987,0.9855,0.9565000000000001,0.9855,0.995,"{'lgbm': 1.0, 'hist': 0.0, 'mlp': 0.0}",0.964875,7719,0.961,1922,0.9894206549118388,0.9964485032978183,0.9114575132525061,1985,0.9635,"{'lgbm': 0.6, 'hist': 0.4, 'mlp': 0.0}",0.007000000000000006,0.0025000000000000577,1.4,2.7008111554988297
0.09,0.025446900494077326,0.988875,0.9885,0.9655,0.9885,0.92,"{'lgbm': 0.2, 'hist': 0.05, 'mlp': 0.75}",0.968,7744,0.959,1918,0.9923586347427407,0.9853313100657562,0.8703129467132898,1963,0.9675,"{'lgbm': 0.0, 'hist': 0.9, 'mlp': 0.1}",-0.0020000000000000018,0.0030000000000000027,-0.40000000000000113,-0.7275654541343806
0.095,0.02835287369864788,0.9905,0.99,0.9699999999999998,0.99,0.98,"{'lgbm': 0.75, 'hist': 0.15, 'mlp': 0.1}",0.972,7776,0.9695,1939,0.9924395161290323,0.9944444444444445,0.9018686868686868,1984,0.9725,"{'lgbm': 0.1, 'hist': 0.85, 'mlp': 0.05}",0.010500000000000065,0.0014999999999999458,2.100000000000011,3.613247356680895
0.1,0.031415926535897934,0.992375,0.992,0.976,0.992,0.98,"{'lgbm': 0.75, 'hist': 0.25, 'mlp': 0.0}",0.978,7824,0.9785,1957,0.9934869739478958,0.9994959677419355,0.9548891129032258,1996,0.9785,"{'lgbm': 0.2, 'hist': 0.8, 'mlp': 0.0}",0.009000000000000008,0.0020000000000000018,1.8,2.938245103234988
